,Operating_Airline,Origin,OriginCityName,Dest,DestCityName,DistanceGroup
411195,UA,CID,"Cedar Rapids/Iowa City, IA",ORD,"Chicago, IL",1
411387,UA,ORD,"Chicago, IL",CID,"Cedar Rapids/Iowa City, IA",1
411676,YX,EWR,"Newark, NJ",RSW,"Fort Myers, FL",5
412678,G7,ORD,"Chicago, IL",DSM,"Des Moines, IA",2
413194,OO,DEN,"Denver, CO",SMF,"Sacramento, CA",4
414786,QX,SAN,"San Diego, CA",SFO,"San Francisco, CA",2
414911,F9,ATL,"Atlanta, GA",SAT,"San Antonio, TX",4
415949,YX,DFW,"Dallas/Fort Worth, TX",EWR,"Newark, NJ",6
416827,C5,DEN,"Denver, CO",OKC,"Oklahoma City, OK",2
421721,DL,ORD,"Chicago, IL",JFK,"New York, NY",3
427293,OO,SMF,"Sacramento, CA",DEN,"Denver, CO",4
431519,UA,CVG,"Cincinnati, OH",EWR,"Newark, NJ",3
433098,OO,MSY,"New Orleans, LA",DEN,"Denver, CO",5
434296,OO,SGF,"Springfield, MO",DFW,"Dallas/Fort Worth, TX",2
436077,YV,SAT,"San Antonio, TX",DFW,"Dallas/Fort Worth, TX",1
472601,MQ,MIA,"Miami, FL",AUS,"Austin, TX",5
472722,MQ,ORD,"Chicago, IL",DAY,"Dayton, OH",1
472944,DL,SEA,"Seattle, WA",SJC,"San Jose, CA",3
473111,AA,GSP,"Greer, SC",CLT,"Charlotte, NC",1
473200,NK,LAS,"Las Vegas, NV",RNO,"Reno, NV",2
473323,DL,SJC,"San Jose, CA",SEA,"Seattle, WA",3
473965,PT,CLT,"Charlotte, NC",ORF,"Norfolk, VA",2
474311,F9,MCO,"Orlando, FL",MDW,"Chicago, IL",4
474404,DL,LGA,"New York, NY",MCI,"Kansas City, MO",5
474444,AA,PVD,"Providence, RI",DCA,"Washington, DC",2
474850,YX,CHO,"Charlottesville, VA",CLT,"Charlotte, NC",1
474976,AA,DCA,"Washington, DC",PVD,"Providence, RI",2
475152,NK,RNO,"Reno, NV",LAS,"Las Vegas, NV",2
476322,MQ,DAY,"Dayton, OH",ORD,"Chicago, IL",1
476377,9E,JAX,"Jacksonville, FL",JFK,"New York, NY",4
476843,F9,HOU,"Houston, TX",DEN,"Denver, CO",4
477043,F9,SAT,"San Antonio, TX",ATL,"Atlanta, GA",4
477242,OO,ATL,"Atlanta, GA",CHA,"Chattanooga, TN",1
477898,MQ,CLT,"Charlotte, NC",AVL,"Asheville, NC",1
478130,MQ,AVL,"Asheville, NC",CLT,"Charlotte, NC",1
478135,YX,CLT,"Charlotte, NC",CHO,"Charlottesville, VA",1
478230,MQ,AUS,"Austin, TX",MIA,"Miami, FL",5
478456,OO,CHA,"Chattanooga, TN",ATL,"Atlanta, GA",1
478763,F9,DEN,"Denver, CO",HOU,"Houston, TX",4
479008,AA,ORD,"Chicago, IL",GRB,"Green Bay, WI",1
479190,AA,CLT,"Charlotte, NC",GSP,"Greer, SC",1
479329,PT,ORF,"Norfolk, VA",CLT,"Charlotte, NC",2
482935,G7,ORD,"Chicago, IL",SDF,"Louisville, KY",2
483148,F9,MDW,"Chicago, IL",MCO,"Orlando, FL",4
483650,9E,JFK,"New York, NY",JAX,"Jacksonville, FL",4
490400,YX,DTW,"Detroit, MI",CLT,"Charlotte, NC",3
490724,WN,LAX,"Los Angeles, CA",ATL,"Atlanta, GA",8
492134,AS,RDM,"Bend/Redmond, OR",SEA,"Seattle, WA",1
492805,DL,MCI,"Kansas City, MO",LGA,"New York, NY",5
494301,AS,SEA,"Seattle, WA",RDM,"Bend/Redmond, OR",1
498701,9E,ATL,"Atlanta, GA",MEM,"Memphis, TN",2
500589,AS,SAN,"San Diego, CA",SJC,"San Jose, CA",2
503786,AS,PDX,"Portland, OR",SLC,"Salt Lake City, UT",3
540654,MQ,STL,"St. Louis, MO",CLT,"Charlotte, NC",3
540770,MQ,ABQ,"Albuquerque, NM",PHX,"Phoenix, AZ",2
541786,NK,IAH,"Houston, TX",LGA,"New York, NY",6
541830,DL,ONT,"Ontario, CA",SEA,"Seattle, WA",4
541841,NK,CLT,"Charlotte, NC",MIA,"Miami, FL",3
542185,AA,CLT,"Charlotte, NC",TYS,"Knoxville, TN",1
542305,YX,RIC,"Richmond, VA",ORD,"Chicago, IL",3
542788,NK,MIA,"Miami, FL",CLT,"Charlotte, NC",3
543472,MQ,PHX,"Phoenix, AZ",ABQ,"Albuquerque, NM",2
543863,DL,SEA,"Seattle, WA",ONT,"Ontario, CA",4
544135,NK,CLT,"Charlotte, NC",LGA,"New York, NY",3
544384,OO,EWR,"Newark, NJ",BOS,"Boston, MA",1
544483,NK,LGA,"New York, NY",IAH,"Houston, TX",6
546118,AA,ATL,"Atlanta, GA",DCA,"Washington, DC",3
546648,NK,LGA,"New York, NY",CLT,"Charlotte, NC",3
548760,AA,TYS,"Knoxville, TN",CLT,"Charlotte, NC",1
548896,F9,PHX,"Phoenix, AZ",DTW,"Detroit, MI",7
549084,F9,ATL,"Atlanta, GA",ORD,"Chicago, IL",3
549529,YX,MKE,"Milwaukee, WI",ORD,"Chicago, IL",1
551279,F9,TPA,"Tampa, FL",DTW,"Detroit, MI",4
552587,F9,PHX,"Phoenix, AZ",PHL,"Philadelphia, PA",9
555052,F9,PHX,"Phoenix, AZ",SNA,"Santa Ana, CA",2
555136,9E,LGA,"New York, NY",IAD,"Washington, DC",1
558334,F9,DTW,"Detroit, MI",TPA,"Tampa, FL",4
558840,AA,LAX,"Los Angeles, CA",PDX,"Portland, OR",4
558960,F9,DTW,"Detroit, MI",PHX,"Phoenix, AZ",7
559102,F9,PHL,"Philadelphia, PA",PHX,"Phoenix, AZ",9
562327,YX,ATL,"Atlanta, GA",MIA,"Miami, FL",3
564903,OO,BOS,"Boston, MA",EWR,"Newark, NJ",1
564952,AA,SEA,"Seattle, WA",LAX,"Los Angeles, CA",4
565318,AA,PDX,"Portland, OR",LAX,"Los Angeles, CA",4
567504,AA,DCA,"Washington, DC",ATL,"Atlanta, GA",3
568169,PT,CID,"Cedar Rapids/Iowa City, IA",ORD,"Chicago, IL",1
569190,9E,ATL,"Atlanta, GA",BHM,"Birmingham, AL",1
608303,F9,SNA,"Santa Ana, CA",PHX,"Phoenix, AZ",2
609418,OO,SEA,"Seattle, WA",SAN,"San Diego, CA",5
609439,DL,MCO,"Orlando, FL",MIA,"Miami, FL",1
609500,MQ,CLT,"Charlotte, NC",STL,"St. Louis, MO",3
610601,G7,CLT,"Charlotte, NC",IAD,"Washington, DC",2
610854,MQ,CLT,"Charlotte, NC",BNA,"Nashville, TN",2
611370,G7,CID,"Cedar Rapids/Iowa City, IA",ORD,"Chicago, IL",1
612189,PT,ORD,"Chicago, IL",CID,"Cedar Rapids/Iowa City, IA",1
612655,9E,LGA,"New York, NY",DTW,"Detroit, MI",3
612937,DL,MIA,"Miami, FL",MCO,"Orlando, FL",1
613568,F9,PHX,"Phoenix, AZ",PDX,"Portland, OR",5
613815,OO,PHX,"Phoenix, AZ",SJC,"San Jose, CA",3
613926,F9,PDX,"Portland, OR",PHX,"Phoenix, AZ",5
615544,YX,SAV,"Savannah, GA",CLT,"Charlotte, NC",1
617378,G7,CLE,"Cleveland, OH",ORD,"Chicago, IL",2
619578,MQ,CLT,"Charlotte, NC",SAV,"Savannah, GA",1
619732,UA,ORD,"Chicago, IL",STL,"St. Louis, MO",2
619754,PT,ORD,"Chicago, IL",MKE,"Milwaukee, WI",1
620853,MQ,BNA,"Nashville, TN",CLT,"Charlotte, NC",2
621594,G7,ORD,"Chicago, IL",CLE,"Cleveland, OH",2
621731,OO,DEN,"Denver, CO",AUS,"Austin, TX",4
624972,PT,MKE,"Milwaukee, WI",ORD,"Chicago, IL",1
625088,DL,MIA,"Miami, FL",LAX,"Los Angeles, CA",10
626608,UA,STL,"St. Louis, MO",ORD,"Chicago, IL",2
626715,DL,LAX,"Los Angeles, CA",MIA,"Miami, FL",10
626921,G7,ORD,"Chicago, IL",CID,"Cedar Rapids/Iowa City, IA",1
629979,MQ,SAV,"Savannah, GA",CLT,"Charlotte, NC",1
631536,DL,DTW,"Detroit, MI",JFK,"New York, NY",3
638217,UA,EWR,"Newark, NJ",CVG,"Cincinnati, OH",3
687277,MQ,MSP,"Minneapolis, MN",DCA,"Washington, DC",4
692162,F9,IAH,"Houston, TX",DFW,"Dallas/Fort Worth, TX",1
697599,OO,DEN,"Denver, CO",MSY,"New Orleans, LA",5
743992,UA,DEN,"Denver, CO",OKC,"Oklahoma City, OK",2
744210,MQ,MSY,"New Orleans, LA",DFW,"Dallas/Fort Worth, TX",2
744731,9E,BOS,"Boston, MA",CLT,"Charlotte, NC",3
745213,YX,TPA,"Tampa, FL",DCA,"Washington, DC",4
748122,YX,TVC,"Traverse City, MI",ORD,"Chicago, IL",1
750149,PT,RIC,"Richmond, VA",CLT,"Charlotte, NC",2
752127,UA,ORD,"Chicago, IL",GRB,"Green Bay, WI",1
752668,YX,DCA,"Washington, DC",TPA,"Tampa, FL",4
752701,UA,OKC,"Oklahoma City, OK",DEN,"Denver, CO",2
753752,OO,SAN,"San Diego, CA",DEN,"Denver, CO",4
755966,WN,ATL,"Atlanta, GA",LAX,"Los Angeles, CA",8
757830,PT,CLT,"Charlotte, NC",RIC,"Richmond, VA",2
763739,OO,ATL,"Atlanta, GA",LEX,"Lexington, KY",2
766870,OO,DEN,"Denver, CO",SAN,"San Diego, CA",4
772460,YX,ORD,"Chicago, IL",TVC,"Traverse City, MI",1
